rank,symbol,yf_ticker,name,market_cap_zar,market_cap_tier,gics_sector,industry
141,SYG,SYG.JO,Sygnia Limited,4940000000,Small Cap,Financials,Asset Management
142,OCT,OCT.JO,Octodec Investments Limited,4660000000,Small Cap,Real Estate,Diversified REITs
143,LEW,LEW.JO,Lewis Group Limited,4240000000,Small Cap,Consumer Discretionary,Furniture Retail
144,CAT,CAT.JO,Caxton and CTP Publishers and Printers Limited,4210000000,Small Cap,Communication Services,Publishing
145,AFT,AFT.JO,Afrimat Limited,4139999999,Small Cap,Materials,Construction Materials & Mining
146,MKR,MKR.JO,Montauk Renewables Inc.,4120000000,Small Cap,Utilities,Renewable Energy
147,OAO,OAO.JO,Oando PLC,4059999999,Small Cap,Energy,Oil & Gas Exploration & Production
148,BEL,BEL.JO,Bell Equipment Limited,3730000000,Small Cap,Industrials,Machinery
149,NPK,NPK.JO,Nampak Limited,3710000000,Small Cap,Materials,Packaging
150,CPP,CPP.JO,Collins Property Group Limited,3700000000,Small Cap,Real Estate,Diversified REITs
151,KP2,KP2.JO,Kore Potash plc,3670000000,Small Cap,Materials,Fertilizer & Potash Mining
152,KAL,KAL.JO,KAL Group Limited,3540000000,Small Cap,Consumer Staples,Agriculture
153,YYLBEE,YYLBEE.JO,YeboYethu (RF) Limited,3440000000,Small Cap,Communication Services,Wireless Telecom (Vodacom BEE)
154,MRF,MRF.JO,Merafe Resources Limited,3350000000,Small Cap,Materials,Ferrochrome Mining
155,CHP,CHP.JO,Choppies Enterprises Limited,3320000000,Small Cap,Consumer Staples,Food Retail
156,SUR,SUR.JO,Spur Corporation Ltd,3300000000,Small Cap,Consumer Discretionary,Restaurants
157,IVT,IVT.JO,Invicta Holdings Limited,3190000000,Small Cap,Industrials,Industrial Distribution & Equipment
158,ZZD,ZZD.JO,Zeda Limited,2920000000,Small Cap,Consumer Discretionary,Automotive Retail & Rental
159,CMH,CMH.JO,Combined Motor Holdings Limited,2870000000,Small Cap,Consumer Discretionary,Automotive Retail
160,AII,AII.JO,Aimia Inc.,2870000000,Small Cap,Financials,Investment Holding Companies
161,PPE,PPE.JO,Purple Group Limited,2740000000,Small Cap,Financials,Brokerage & Fintech
162,SDL,SDL.JO,Southern Palladium Limited,2690000000,Small Cap,Materials,Platinum Group Metals (Exploration)
163,SHG,SHG.JO,Sea Harvest Group Limited,2660000000,Small Cap,Consumer Staples,Fish Processing
164,IOC,IOC.JO,iOCO Limited,2570000000,Small Cap,Information Technology,IT Services
165,MCZ,MCZ.JO,MC Mining Limited,2560000000,Small Cap,Energy,Coal Mining
166,MPT,MPT.JO,Mpact Limited,2530000000,Small Cap,Materials,Paper & Packaging
167,LBR,LBR.JO,Libstar Holdings Limited,2490000000,Small Cap,Consumer Staples,Packaged Foods
168,CLH,CLH.JO,City Lodge Hotels Limited,2480000000,Small Cap,Consumer Discretionary,Hotels
169,CSB,CSB.JO,Cashbuild Limited,2430000000,Small Cap,Consumer Discretionary,Home Improvement Retail
170,MDI,MDI.JO,Master Drilling Group Limited,2410000000,Small Cap,Industrials,Mining Services
171,ORN,ORN.JO,Orion Minerals Limited,2350000000,Small Cap,Materials,Base Metals Mining
172,ACS,ACS.JO,Acsion Limited,2340000000,Small Cap,Real Estate,Diversified REITs
173,ART,ART.JO,Argent Industrial Limited,2120000000,Small Cap,Industrials,Diversified Industrials
174,AXX,AXX.JO,Araxi Limited,2069999999,Small Cap,Financials,Investment Holding Companies
175,ACL,ACL.JO,ArcelorMittal South Africa Limited,2020000000,Small Cap,Materials,Steel
176,BWN,BWN.JO,Balwin Properties Limited,1990000000,Micro Cap,Real Estate,Residential Real Estate Development
177,NVS,NVS.JO,Novus Holdings Limited,1960000000,Micro Cap,Communication Services,Printing & Publishing
178,FTH,FTH.JO,Frontier Transport Holdings Limited,1920000000,Micro Cap,Industrials,Transportation & Logistics
179,OAS,OAS.JO,Oasis Crescent Property Fund,1920000000,Micro Cap,Real Estate,Diversified REITs
180,SCD,SCD.JO,Schroder European Real Estate Investment Trust Plc,1840000000,Micro Cap,Real Estate,Diversified REITs
181,JBL,JBL.JO,Jubilee Metals Group PLC,1760000000,Micro Cap,Materials,PGM & Copper Processing
182,QFH,QFH.JO,Quantum Foods Holdings Ltd,1730000000,Micro Cap,Consumer Staples,Poultry & Eggs
183,ZED,ZED.JO,Zeder Investments Ltd.,1650000000,Micro Cap,Consumer Staples,Agribusiness Investment Holding
184,UPL,UPL.JO,Universal Partners Limited,1430000000,Micro Cap,Financials,Investment Holding Companies
185,MMP,MMP.JO,Marshall Monteagle PLC,1430000000,Micro Cap,Consumer Staples,Agri Trading & Investment Holding
186,SZK,SZK.JO,SAB Zenzele Kabili Holdings (RF) Limited,1380000000,Micro Cap,Consumer Staples,Brewers (BEE Scheme)
187,BRN,BRN.JO,Brimstone Investment Corporation Limited,1300000000,Micro Cap,Financials,Investment Holding Companies
188,BRT,BRT.JO,Brimstone Investment Corporation Limited,1300000000,Micro Cap,Financials,Investment Holding Companies
189,GML,GML.JO,Gemfields Group Limited,1280000000,Micro Cap,Materials,Gemstone Mining
190,TPC,TPC.JO,Transpaco Limited,1130000000,Micro Cap,Materials,Packaging
191,DNB,DNB.JO,Deneb Investments Limited,1100000000,Micro Cap,Consumer Discretionary,Textiles & Diversified Industrial
